tv,play
Overlord第二季,35235000
紫罗兰永恒花园,10770000
戒律的复活,10141000
龙王的工作！,9370000
齐木楠雄的灾难第二季,6899000
Fate/ExtraLastEncore,6201000
小木乃伊到我家,5669000
Pop子和Pipi美的日常,4949985
魔卡少女樱透明牌篇,4897000
博多豚骨拉面团,4821000
