tv,dm
Overlord第二季,735000
紫罗兰永恒花园,683000
龙王的工作！,576000
Citrus~柑橘味香气~,324000
魔卡少女樱透明牌篇,319000
Fate/ExtraLastEncore,266000
齐木楠雄的灾难第二季,242000
Pop子和Pipi美的日常,191157
博多豚骨拉面团,183000
小木乃伊到我家,148000
