Source,Target,Type
894929,748709,Directed
894929,927587,Directed
894929,680417,Directed
894929,2333958,Directed
894929,9434004,Directed
894929,8739477,Directed
894929,4408538,Directed
894929,17171565,Directed
894929,27218150,Directed
894929,17819768,Directed
894929,27580511,Directed
894929,36157723,Directed
894929,8756320,Directed
894929,5367685,Directed
894929,21837784,Directed
894929,43582057,Directed
894929,43619319,Directed
894929,50952087,Directed
894929,79061224,Directed
894929,37091460,Directed
894929,58852835,Directed
894929,82366241,Directed
894929,98567545,Directed
894929,246640269,Directed
894929,359789108,Directed
894929,206840230,Directed
1537595,57621,Directed
1537595,43536,Directed
1537595,221648,Directed
1537595,127533,Directed
1537595,226388,Directed
1537595,245869,Directed
1537595,122879,Directed
1537595,313861,Directed
1537595,388447,Directed
1537595,320838,Directed
1537595,585267,Directed
1537595,449356,Directed
1537595,748709,Directed
1537595,1289560,Directed
1537595,883968,Directed
1537595,1605721,Directed
1537595,1967097,Directed
1537595,3117396,Directed
1537595,3313504,Directed
1537595,2740275,Directed
1537595,3380239,Directed
1537595,3541007,Directed
1537595,779665,Directed
1537595,3660343,Directed
1537595,2403047,Directed
1537595,4367522,Directed
1537595,3076566,Directed
1537595,6468717,Directed
1537595,4985996,Directed
1537595,10462362,Directed
1537595,4568410,Directed
1537595,5311645,Directed
1537595,11638156,Directed
1537595,11173348,Directed
1537595,15967711,Directed
1537595,11730197,Directed
1537595,17646811,Directed
1537595,26306107,Directed
1537595,20990353,Directed
1537595,30857691,Directed
1537595,13340178,Directed
1537595,32365949,Directed
1537595,32662974,Directed
1537595,27937261,Directed
1537595,33588706,Directed
1537595,33593586,Directed
1537595,34994934,Directed
1537595,35643203,Directed
1537595,38397538,Directed
1537595,35167755,Directed
1537595,39614596,Directed
1537595,60667299,Directed
1537595,85318798,Directed
1537595,88639370,Directed
1537595,124599286,Directed
1537595,193262326,Directed
1537595,168090912,Directed
1537595,97329145,Directed
1537595,287003199,Directed
1537595,217194491,Directed
1600957,13046,Directed
1600957,7349,Directed
1600957,27380,Directed
1600957,43536,Directed
1600957,53456,Directed
1600957,7714,Directed
1600957,168598,Directed
1600957,157761,Directed
1600957,122879,Directed
1600957,282994,Directed
1600957,268104,Directed
1600957,256763,Directed
1600957,208259,Directed
1600957,295723,Directed
1600957,398510,Directed
1600957,385474,Directed
1600957,585267,Directed
1600957,423895,Directed
1600957,808171,Directed
1600957,614801,Directed
1600957,2989565,Directed
1600957,3380239,Directed
1600957,777536,Directed
1600957,4852206,Directed
1600957,3659549,Directed
1600957,2403047,Directed
1600957,4564056,Directed
1600957,5089926,Directed
1600957,5326066,Directed
1600957,8539163,Directed
1600957,7487399,Directed
1600957,8679425,Directed
1600957,9591550,Directed
1600957,10462362,Directed
1600957,13029678,Directed
1600957,11793131,Directed
1600957,10568655,Directed
1600957,13084817,Directed
1600957,12585898,Directed
1600957,20064871,Directed
1600957,19419058,Directed
1600957,14110780,Directed
1600957,22667511,Directed
1600957,20646254,Directed
1600957,29093316,Directed
1600957,50335113,Directed
1600957,22808570,Directed
1600957,33398133,Directed
1600957,33009435,Directed
1600957,77302037,Directed
1600957,24889090,Directed
1600957,85560970,Directed
1600957,250858633,Directed
1600957,99733668,Directed
1600957,244455979,Directed
